trip_id,start_time,end_time,headway_secs
1000007-1-287-0710,07:10:00,07:42:00,480
1000007-1-287-0742,07:42:00,09:00:00,360
1000007-1-287-0900,09:00:00,09:30:00,420
1000007-1-287-1700,17:00:00,17:30:00,600
1000007-1-287-1730,17:30:00,18:00:00,360
1000007-1-287-1800,18:00:00,19:00:00,600
1000016-1-287-0630,06:30:00,07:00:00,1800
1000016-1-287-0700,07:00:00,07:20:00,1200
1000016-1-287-0720,07:20:00,08:00:00,780
1000016-1-287-0800,08:00:00,13:00:00,1800
1000016-1-288-0630,06:30:00,10:30:00,1800
1000016-1-288-1030,10:30:00,13:00:00,1500
1000016-2-287-1640,16:40:00,17:40:00,1800
1000016-2-287-1740,17:40:00,18:20:00,780
1000016-2-287-1820,18:20:00,18:40:00,1200
1000016-2-287-1840,18:40:00,22:10:00,1800
1000016-2-288-1640,16:40:00,19:40:00,1800
1000016-2-288-1940,19:40:00,22:10:00,1500
1000018-1-319-0900,09:00:00,16:00:00,3600
1000020-1-287-1700,17:00:00,18:00:00,600
1000020-1-287-1800,18:00:00,19:00:00,720
1000021-1-287-1220,12:20:00,16:40:00,1200
1000021-1-287-1640,16:40:00,17:40:00,720
1000021-1-287-1740,17:40:00,20:00:00,1200
1000021-1-288-1220,12:20:00,16:40:00,1200
1000021-1-288-1640,16:40:00,17:40:00,900
1000021-1-288-1740,17:40:00,20:00:00,1200
1000021-1-448-1230,12:30:00,17:00:00,1800
1000021-1-448-1700,17:00:00,20:00:00,1200
1000025-1-511-0505,05:05:00,13:30:00,1020
1000025-1-511-1330,13:30:00,23:30:00,1500
1000025-2-287-0520,05:20:00,15:00:00,1320
1000025-2-287-1500,15:00:00,16:45:00,900
1000025-2-287-1645,16:45:00,17:50:00,1320
1000025-2-287-1750,17:50:00,23:00:00,1620
1000025-2-287-2300,23:00:00,24:00:00,900
1000025-2-288-0520,05:20:00,15:00:00,1320
1000025-2-288-1500,15:00:00,16:50:00,1020
1000025-2-288-1650,16:50:00,23:00:00,1620
1000025-2-288-2300,23:00:00,24:00:00,900
1000025-2-448-0520,05:20:00,15:00:00,1320
1000025-2-448-1500,15:00:00,24:00:00,1020
1000026-1-287-0540,05:40:00,06:10:00,1800
1000026-1-287-0610,06:10:00,07:00:00,1500
1000026-1-287-0700,07:00:00,22:00:00,1800
1000026-1-287-2200,22:00:00,23:10:00,2100
1000026-1-288-0540,05:40:00,06:10:00,1800
1000026-1-288-0610,06:10:00,07:00:00,1500
1000026-1-288-0700,07:00:00,09:00:00,3600
1000026-1-288-0900,09:00:00,22:00:00,1800
1000026-1-288-2200,22:00:00,23:10:00,2100
1000026-1-448-0540,05:40:00,07:00:00,2400
1000026-1-448-0700,07:00:00,09:00:00,3600
1000026-1-448-0900,09:00:00,22:00:00,1800
1000026-1-448-2200,22:00:00,23:10:00,2100
1000026-2-287-0540,05:40:00,07:10:00,1800
1000026-2-287-0710,07:10:00,07:35:00,1500
1000026-2-287-0735,07:35:00,21:35:00,1800
1000026-2-287-2135,21:35:00,22:20:00,2700
1000026-2-288-0540,05:40:00,07:40:00,3600
1000026-2-288-0740,07:40:00,08:05:00,1500
1000026-2-288-0805,08:05:00,21:35:00,1800
1000026-2-288-2135,21:35:00,22:20:00,2700
1000026-2-448-0540,05:40:00,07:40:00,3600
1000026-2-448-0740,07:40:00,08:05:00,1500
1000026-2-448-0805,08:05:00,21:35:00,1800
1000026-2-448-2135,21:35:00,22:20:00,2700
1000028-1-319-0510,05:10:00,13:30:00,1020
1000028-1-319-1330,13:30:00,23:40:00,1320
1000028-1-448-0510,05:10:00,08:10:00,780
1000028-1-448-0810,08:10:00,12:30:00,1020
1000028-1-448-1230,12:30:00,17:20:00,1320
1000028-1-448-1720,17:20:00,18:15:00,1020
1000028-1-448-1815,18:15:00,22:10:00,1320
1000028-1-448-2210,22:10:00,23:40:00,1800
1000028-2-287-0530,05:30:00,06:30:00,1800
1000028-2-287-0630,06:30:00,15:50:00,1320
1000028-2-287-1550,15:50:00,19:20:00,780
1000028-2-287-1920,19:20:00,24:00:00,1020
1000028-2-288-0530,05:30:00,06:30:00,1800
1000028-2-288-0630,06:30:00,15:50:00,1320
1000028-2-288-1550,15:50:00,19:20:00,840
1000028-2-288-1920,19:20:00,24:00:00,1020
1000028-2-448-0530,05:30:00,06:30:00,1800
1000028-2-448-0630,06:30:00,15:40:00,1320
1000028-2-448-1540,15:40:00,19:20:00,840
1000028-2-448-1920,19:20:00,24:00:00,1020
1000031-1-287-0515,05:15:00,06:07:00,780
1000031-1-287-0607,06:07:00,06:27:00,1200
1000031-1-287-0627,06:27:00,07:17:00,720
1000031-1-287-0717,07:17:00,08:30:00,1140
1000031-1-288-0515,05:15:00,07:32:00,780
1000031-1-288-0732,07:32:00,08:30:00,1140
1000036-1-288-0900,09:00:00,12:00:00,3600
1000036-1-448-0900,09:00:00,12:00:00,3600
1000038-1-288-1500,15:00:00,19:00:00,3600
1000038-1-448-1500,15:00:00,19:00:00,3600
1000043-2-288-1700,17:00:00,17:30:00,1800
1000043-2-448-1630,16:30:00,17:00:00,1800
1000043-2-448-1700,17:00:00,19:00:00,1200
1000050-1-287-0545,05:45:00,06:20:00,2100
1000050-1-287-0620,06:20:00,08:50:00,1800
1000050-1-288-0545,05:45:00,06:20:00,2100
1000050-1-288-0620,06:20:00,08:50:00,1800
1000051-1-287-0620,06:20:00,06:50:00,1800
1000051-1-287-0650,06:50:00,08:55:00,1500
1000051-1-288-0620,06:20:00,09:00:00,1800
1000053-1-271-1850,18:50:00,19:38:00,720
1000053-1-271-1938,19:38:00,20:06:00,840
1000053-1-271-2006,20:06:00,20:22:00,960
1000053-1-271-2022,20:22:00,22:22:00,900
1000053-1-271-2222,22:22:00,22:40:00,1080
1000053-1-271-2240,22:40:00,24:00:00,1200
1000053-1-272-1855,18:55:00,21:25:00,900
1000053-1-272-2125,21:25:00,22:25:00,720
1000053-1-272-2225,22:25:00,22:40:00,900
1000053-1-272-2240,22:40:00,24:00:00,1200
1000053-1-288-1700,17:00:00,17:45:00,900
1000053-1-288-1745,17:45:00,18:45:00,720
1000053-1-288-1845,18:45:00,19:00:00,900
1000053-1-288-1900,19:00:00,24:00:00,1200
1000053-1-448-1700,17:00:00,24:00:00,1200
1000054-1-511-1845,18:45:00,21:25:00,1200
1000054-1-511-2125,21:25:00,23:55:00,1500
1000061-1-287-0716,07:16:00,07:46:00,900
1000061-1-287-0746,07:46:00,08:06:00,600
1000061-1-287-0806,08:06:00,08:17:00,660
1000061-1-287-0817,08:17:00,09:09:00,780
1000061-1-288-0716,07:16:00,09:04:00,720
1000063-1-287-0645,06:45:00,07:15:00,1800
1000063-1-287-0715,07:15:00,07:40:00,1500
1000065-1-319-0530,05:30:00,05:55:00,1500
1000065-1-319-0555,05:55:00,06:55:00,1200
1000065-1-319-0655,06:55:00,07:55:00,900
1000065-1-319-0755,07:55:00,08:15:00,1200
1000065-1-319-0815,08:15:00,08:40:00,1500
1000065-2-319-1700,17:00:00,18:00:00,1200
1000065-2-319-1800,18:00:00,19:00:00,1800
1000074-1-287-1300,13:00:00,17:00:00,2400
